sample	rf	triplet
1	0.7056	0.638
2	0.8079	0.506
3	0.6852	0.7413
4	0.6238	0.7552
5	0.6238	0.834
6	0.6034	0.5516
7	0.5624	0.266
8	0.6034	0.1504
9	0.6136	0.1696
10	0.5113	0.3426
11	0.6954	0.5982
12	0.5624	0.0994
13	0.5829	0.6375
14	0.6852	0.3286
15	0.6136	0.7355
16	0.6852	0.5123
17	0.6238	0.6943
18	0.5931	0.8402
19	0.6954	0.5703
20	0.7874	0.7916
21	0.5727	0.1429
22	0.7363	0.7961
23	0.6136	0.5293
24	0.6238	0.3726
25	0.6238	0.4605
26	0.634	0.4193
27	0.5727	0.5137
28	0.5727	0.2948
29	0.6034	0.4397
30	0.5522	0.4161
31	0.7363	0.4962
32	0.7567	0.925
33	0.7158	0.7646
34	0.7465	0.5181
35	0.6238	0.4482
36	0.7772	0.3139
37	0.634	0.8157
38	0.5011	0.0664
39	0.7056	0.4658
40	0.6749	0.5354
41	0.6852	0.719
42	0.6647	0.9138
43	0.6852	0.5527
44	0.767	0.7916
45	0.5011	0.1116
46	0.5931	0.5473
47	0.6443	0.4805
48	0.6545	0.6967
49	0.6238	0.1608
50	0.542	0.2561
51	0.634	0.3896
52	0.6852	0.5751
53	0.8386	0.6655
54	0.6136	0.6259
55	0.7567	0.7851
56	0.6852	0.6523
57	0.6136	0.5853
58	0.5829	0.4872
59	0.5829	0.4518
60	0.6545	0.432
61	0.767	0.8321
62	0.6954	0.6656
63	0.5931	0.6304
64	0.6749	0.471
65	0.6852	0.6422
66	0.6443	0.8059
67	0.6238	0.5642
68	0.6749	0.552
69	0.6545	0.2712
70	0.6545	0.647
71	0.6545	0.619
72	0.7874	0.7894
73	0.6443	0.2566
74	0.542	0.3684
75	0.5727	0.2998
76	0.6545	0.2229
77	0.7772	0.5633
78	0.7158	0.6771
79	0.6852	0.7089
80	0.6238	0.3291
81	0.6749	0.74
82	0.7465	0.6731
83	0.8488	0.3546
84	0.5829	0.4678
85	0.6954	0.4713
86	0.4909	0.4733
87	0.6852	0.6533
88	0.6238	0.325
89	0.6647	0.3669
90	0.6749	0.7546
91	0.6954	0.552
92	0.5318	0.3921
93	0.5727	0.3892
94	0.7056	0.698
95	0.6443	0.7625
96	0.4397	0.6208
97	0.6647	0.2568
98	0.6545	0.4532
99	0.6034	0.232
100	0.542	0.5734
