sample	rf	triplet
1	0.7158	0.7417
2	0.7363	0.5543
3	0.6034	0.5931
4	0.6443	0.7805
5	0.6545	0.8522
6	0.7158	0.7299
7	0.7056	0.6930
8	0.6238	0.1737
9	0.7158	0.4149
10	0.7056	0.5301
11	0.6647	0.8239
12	0.4602	0.2623
13	0.6647	0.8830
14	0.7465	0.5544
15	0.6443	0.6399
16	0.6238	0.5641
17	0.6545	0.8946
18	0.6136	0.8353
19	0.6749	0.5352
20	0.7465	0.7516
21	0.5522	0.2978
22	0.7056	0.8346
23	0.5829	0.5843
24	0.6443	0.4966
25	0.6545	0.6614
26	0.6749	0.4856
27	0.6443	0.6927
28	0.5727	0.6226
29	0.6647	0.3158
30	0.5624	0.4672
31	0.6852	0.7640
32	0.7261	0.8576
33	0.6749	0.8758
34	0.6647	0.7423
35	0.6749	0.8452
36	0.7772	0.4440
37	0.5522	0.7754
38	0.5931	0.2810
39	0.6954	0.7623
40	0.6545	0.7608
41	0.7670	0.9236
42	0.6136	0.9069
43	0.6443	0.4592
44	0.7363	0.5537
45	0.5624	0.2899
46	0.6852	0.8544
47	0.6443	0.8337
48	0.6749	0.8822
49	0.6647	0.5091
50	0.5420	0.3930
51	0.7158	0.5619
52	0.7158	0.9262
53	0.7158	0.7409
54	0.6443	0.6194
55	0.7056	0.8446
56	0.6749	0.8434
57	0.6749	0.7888
58	0.6136	0.6576
59	0.5420	0.4530
60	0.6443	0.4702
61	0.8079	0.9249
62	0.6852	0.7304
63	0.6136	0.5978
64	0.6749	0.5739
65	0.6443	0.6876
66	0.7465	0.8423
67	0.5624	0.5012
68	0.6545	0.8033
69	0.7158	0.7747
70	0.5522	0.6724
71	0.6852	0.7623
72	0.7874	0.7419
73	0.5522	0.4420
74	0.5727	0.5806
75	0.6034	0.2939
76	0.6545	0.4707
77	0.7465	0.8786
78	0.7363	0.7751
79	0.6545	0.8079
80	0.6647	0.7935
81	0.6647	0.8320
82	0.6852	0.7998
83	0.7874	0.4189
84	0.6443	0.7963
85	0.7056	0.4728
86	0.5829	0.6143
87	0.6647	0.6303
88	0.6647	0.6683
89	0.6034	0.6839
90	0.6852	0.8396
91	0.6954	0.8209
92	0.5727	0.5478
93	0.6034	0.5872
94	0.7158	0.6136
95	0.7158	0.8710
96	0.5727	0.8639
97	0.6443	0.6194
98	0.6954	0.5044
99	0.6443	0.3394
100	0.4091	0.5448
