sample	rf	triplet
1	0.608247422680412	0.324050711193568
2	0.670103092783505	0.361403834260977
3	0.639175257731959	0.573382807668522
4	0.618556701030928	0.5269573283859
5	0.639175257731959	0.384910327767471
6	0.556701030927835	0.41891156462585
7	0.618556701030928	0.407674706246135
8	0.597938144329897	0.255800865800866
9	0.577319587628866	0.123834260977118
10	0.54639175257732	0.258497217068646
11	0.65979381443299	0.313809523809524
12	0.463917525773196	0.338293135435993
13	0.597938144329897	0.596376004947433
14	0.649484536082474	0.144823747680891
15	0.556701030927835	0.353630179344465
16	0.639175257731959	0.332077922077922
17	0.515463917525773	0.623735312306741
18	0.45360824742268	0.530692640692641
19	0.618556701030928	0.459628942486085
20	0.742268041237113	0.330037105751391
21	0.525773195876289	0.19321583178726
22	0.721649484536082	0.574421768707483
23	0.649484536082474	0.505337043908472
24	0.556701030927835	0.26295609152752
25	0.628865979381443	0.469443413729128
26	0.556701030927835	0.451533704390847
27	0.505154639175258	0.423481756338899
28	0.536082474226804	0.525355596784168
29	0.536082474226804	0.368682745825603
30	0.505154639175258	0.648268398268398
31	0.711340206185567	0.60591218305504
32	0.680412371134021	0.535176252319109
33	0.670103092783505	0.573883735312307
34	0.701030927835051	0.371849103277675
35	0.65979381443299	0.591366728509586
36	0.742268041237113	0.288620902906617
37	0.608247422680412	0.539573283858998
38	0.494845360824742	0.809338280766852
39	0.670103092783505	0.339128014842301
40	0.536082474226804	0.403562152133581
41	0.690721649484536	0.596573902288188
42	0.587628865979381	0.376233766233766
43	0.65979381443299	0.32317254174397
44	0.690721649484536	0.461422387136673
45	0.484536082474227	0.250896722325294
46	0.608247422680412	0.473580705009276
47	0.597938144329897	0.295367965367965
48	0.65979381443299	0.578095238095238
49	0.639175257731959	0.226004947433519
50	0.515463917525773	0.144298082869511
51	0.618556701030928	0.506141001855288
52	0.65979381443299	0.545200989486704
53	0.762886597938144	0.535534941249227
54	0.556701030927835	0.2760853432282
55	0.649484536082474	0.268268398268398
56	0.65979381443299	0.411329622758194
57	0.577319587628866	0.402325293753865
58	0.443298969072165	0.463778602350031
59	0.474226804123711	0.305930735930736
60	0.618556701030928	0.295473098330241
61	0.670103092783505	0.571799628942486
62	0.608247422680412	0.400581323438466
63	0.56701030927835	0.484570191713049
64	0.65979381443299	0.402578849721707
65	0.608247422680412	0.456338899196042
66	0.711340206185567	0.533048855905999
67	0.536082474226804	0.202807668521954
68	0.628865979381443	0.40534941249227
69	0.639175257731959	0.305924551638837
70	0.536082474226804	0.614811379097093
71	0.587628865979381	0.337637600494743
72	0.742268041237113	0.508299319727891
73	0.556701030927835	0.301669758812616
74	0.474226804123711	0.367068645640074
75	0.536082474226804	0.777878787878788
76	0.608247422680412	0.191985157699443
77	0.680412371134021	0.408095238095238
78	0.649484536082474	0.532659245516388
79	0.639175257731959	0.56126159554731
80	0.608247422680412	0.301601731601732
81	0.639175257731959	0.482090290661719
82	0.701030927835051	0.58273964131107
83	0.721649484536082	0.387977736549165
84	0.628865979381443	0.28847866419295
85	0.577319587628866	0.828014842300557
86	0.505154639175258	0.453413729128015
87	0.536082474226804	0.333617810760668
88	0.628865979381443	0.708658008658009
89	0.608247422680412	0.442683982683983
90	0.649484536082474	0.509183673469388
91	0.721649484536082	0.508942486085343
92	0.556701030927835	0.121886209029066
93	0.556701030927835	0.154471243042672
94	0.670103092783505	0.382949907235622
95	0.618556701030928	0.548688930117502
96	0.484536082474227	0.581076066790353
97	0.597938144329897	0.306252319109462
98	0.628865979381443	0.369857761286333
99	0.587628865979381	0.123586889301175
100	0.381443298969072	0.298726035868893
