"sample"	"rf"	"triplet"
1	0.6082474	0.5955411
2	0.742268	0.4649289
3	0.7525773	0.5587631
4	0.6701031	0.5398578
5	0.6907216	0.5458442
6	0.6907216	0.6240754
7	0.7113402	0.5499876
8	0.7113402	0.3829994
9	0.7319588	0.4621892
10	0.628866	0.5262647
11	0.7010309	0.5742981
12	0.6494845	0.3278541
13	0.7216495	0.5765986
14	0.7525773	0.2911441
15	0.6804124	0.5760421
16	0.742268	0.3435683
17	0.6804124	0.6137848
18	0.6597938	0.5409709
19	0.7525773	0.4673098
20	0.7938144	0.5216945
21	0.6597938	0.2900866
22	0.8041237	0.5929746
23	0.742268	0.5051144
24	0.7010309	0.5533952
25	0.6907216	0.4118491
26	0.6804124	0.5807297
27	0.6701031	0.5587322
28	0.6185567	0.4425788
29	0.6391753	0.5077427
30	0.6185567	0.3342795
31	0.8041237	0.6188683
32	0.814433	0.6254607
33	0.7010309	0.5002474
34	0.742268	0.5974212
35	0.7525773	0.6008225
36	0.7319588	0.3163884
37	0.6494845	0.626914
38	0.5979381	0.4142053
39	0.7010309	0.5000309
40	0.7731959	0.5847619
41	0.7731959	0.6182746
42	0.7113402	0.5423191
43	0.8247423	0.4293074
44	0.7835052	0.5746753
45	0.7113402	0.3625974
46	0.6701031	0.6402597
47	0.6907216	0.5556153
48	0.7525773	0.4512059
49	0.7525773	0.3783673
50	0.6391753	0.3645083
51	0.7010309	0.5427273
52	0.6701031	0.5213915
53	0.7731959	0.5504762
54	0.6185567	0.5309215
55	0.7835052	0.5909029
56	0.7216495	0.4598639
57	0.6907216	0.4702659
58	0.6494845	0.534663
59	0.6597938	0.3662832
60	0.8247423	0.4473222
61	0.6701031	0.5842362
62	0.7835052	0.5004082
63	0.6185567	0.5115461
64	0.7525773	0.5698083
65	0.6494845	0.5107978
66	0.7525773	0.6092826
67	0.7113402	0.4834756
68	0.7113402	0.4686518
69	0.6804124	0.3395733
70	0.6701031	0.5481138
71	0.7319588	0.3961781
72	0.8041237	0.5977798
73	0.6597938	0.3912121
74	0.6597938	0.4563451
75	0.6185567	0.5517625
76	0.7319588	0.2880272
77	0.7628866	0.4174768
78	0.6907216	0.6085714
79	0.7938144	0.373055
80	0.7010309	0.3638281
81	0.7216495	0.5284292
82	0.7938144	0.5287941
83	0.7113402	0.4013111
84	0.6804124	0.434632
85	0.7525773	0.5635931
86	0.6185567	0.4787817
87	0.7525773	0.281509
88	0.6804124	0.5468893
89	0.7525773	0.3675881
90	0.7319588	0.5153494
91	0.7628866	0.4935498
92	0.7525773	0.4524242
93	0.7010309	0.3940445
94	0.7319588	0.4769388
95	0.6804124	0.5795114
96	0.7113402	0.5424057
97	0.7525773	0.4175263
98	0.7835052	0.4709276
99	0.7319588	0.3462585
100	0.4845361	0.4467409
